                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.09364,                0.96304,                      1,                0.33989,               0.070108,              0.0033213,              0.0033213
                      1,                 0.0265,                0.93018,                      1,                 0.3655,               0.040102,               0.006648,               0.006648
                      2,                0.01791,                0.98973,                      1,                0.31157,               0.010089,              0.0099682,              0.0099682
                      3,                0.01328,                0.99384,                      1,                0.30446,              0.0099703,              0.0099703,              0.0099703
                      4,                0.00648,                0.99384,                      1,                0.30282,              0.0099703,              0.0099703,              0.0099703
                      5,                0.00382,                      1,                      1,                0.29886,              0.0099604,              0.0099604,              0.0099604
                      6,                0.00275,                0.99589,                      1,                0.30626,              0.0099505,              0.0099505,              0.0099505
                      7,                0.00205,                0.99384,                      1,                 0.3033,              0.0099406,              0.0099406,              0.0099406
                      8,                0.00152,                0.99589,                      1,                0.30445,              0.0099307,              0.0099307,              0.0099307
                      9,                0.00189,                0.99589,                      1,                0.30218,              0.0099208,              0.0099208,              0.0099208
                     10,                0.00057,                0.99589,                      1,                0.30137,              0.0099109,              0.0099109,              0.0099109
                     11,                0.00042,                0.99589,                      1,                  0.302,               0.009901,               0.009901,               0.009901
                     12,                0.00219,                0.99795,                      1,                0.30061,              0.0098911,              0.0098911,              0.0098911
                     13,                0.00248,                0.99589,                      1,                0.30213,              0.0098812,              0.0098812,              0.0098812
                     14,                 0.0008,                0.99795,                      1,                 0.3011,              0.0098713,              0.0098713,              0.0098713
                     15,                0.00078,                0.99589,                      1,                0.30002,              0.0098614,              0.0098614,              0.0098614
                     16,                0.00025,                0.99795,                      1,                0.30032,              0.0098515,              0.0098515,              0.0098515
                     17,                  6e-05,                0.99795,                      1,                0.30023,              0.0098416,              0.0098416,              0.0098416
                     18,                  3e-05,                0.99795,                      1,                0.29996,              0.0098317,              0.0098317,              0.0098317
                     19,                  3e-05,                0.99795,                      1,                0.29995,              0.0098218,              0.0098218,              0.0098218
                     20,                  2e-05,                0.99795,                      1,                0.29995,              0.0098119,              0.0098119,              0.0098119
