                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.07753,                0.97947,                      1,                0.32445,               0.070108,              0.0033213,              0.0033213
                      1,                0.02124,                0.96715,                      1,                 0.3289,               0.040075,              0.0066217,              0.0066217
                      2,                0.01884,                0.99384,                      1,                0.30763,               0.010009,              0.0098891,              0.0098891
                      3,                0.01349,                0.99589,                      1,                0.30212,              0.0098515,              0.0098515,              0.0098515
                      4,                0.00886,                0.98973,                      1,                0.30866,              0.0098515,              0.0098515,              0.0098515
                      5,                0.00583,                0.99795,                      1,                0.30041,               0.009802,               0.009802,               0.009802
                      6,                0.00235,                0.99589,                      1,                0.30169,              0.0097525,              0.0097525,              0.0097525
                      7,                0.00207,                0.99795,                      1,                 0.3021,               0.009703,               0.009703,               0.009703
                      8,                0.00132,                0.99589,                      1,                0.30231,              0.0096535,              0.0096535,              0.0096535
                      9,                0.00246,                0.99589,                      1,                0.30165,               0.009604,               0.009604,               0.009604
                     10,                0.00174,                0.99795,                      1,                0.30038,              0.0095545,              0.0095545,              0.0095545
                     11,                0.00086,                0.99589,                      1,                0.30263,               0.009505,               0.009505,               0.009505
                     12,                0.00086,                0.99795,                      1,                0.30007,              0.0094555,              0.0094555,              0.0094555
                     13,                0.00062,                0.99795,                      1,                0.30044,               0.009406,               0.009406,               0.009406
                     14,                0.00437,                0.99795,                      1,                0.30197,              0.0093565,              0.0093565,              0.0093565
                     15,                0.00163,                0.99795,                      1,                0.30059,               0.009307,               0.009307,               0.009307
                     16,                0.00123,                0.99589,                      1,                0.30336,              0.0092575,              0.0092575,              0.0092575
                     17,                0.00035,                0.99795,                      1,                0.29999,               0.009208,               0.009208,               0.009208
                     18,                0.00011,                0.99795,                      1,                0.29995,              0.0091585,              0.0091585,              0.0091585
                     19,                  5e-05,                0.99795,                      1,                0.29994,               0.009109,               0.009109,               0.009109
                     20,                  5e-05,                0.99795,                      1,                0.29994,              0.0090595,              0.0090595,              0.0090595
                     21,                  7e-05,                0.99795,                      1,                0.30014,                0.00901,                0.00901,                0.00901
                     22,                  5e-05,                0.99795,                      1,                    0.3,              0.0089605,              0.0089605,              0.0089605
                     23,                  5e-05,                0.99795,                      1,                0.29997,               0.008911,               0.008911,               0.008911
                     24,                  6e-05,                0.99795,                      1,                0.29993,              0.0088615,              0.0088615,              0.0088615
                     25,                  8e-05,                0.99795,                      1,                0.29993,               0.008812,               0.008812,               0.008812
                     26,                  3e-05,                0.99795,                      1,                0.29995,              0.0087625,              0.0087625,              0.0087625
                     27,                  2e-05,                0.99795,                      1,                0.29995,               0.008713,               0.008713,               0.008713
                     28,                  2e-05,                0.99795,                      1,                0.29995,              0.0086635,              0.0086635,              0.0086635
                     29,                  2e-05,                0.99795,                      1,                0.29994,               0.008614,               0.008614,               0.008614
                     30,                  2e-05,                0.99795,                      1,                0.29995,              0.0085645,              0.0085645,              0.0085645
                     31,                  1e-05,                0.99795,                      1,                0.29995,               0.008515,               0.008515,               0.008515
                     32,                  2e-05,                0.99795,                      1,                0.29996,              0.0084655,              0.0084655,              0.0084655
                     33,                  3e-05,                0.99795,                      1,                0.29995,               0.008416,               0.008416,               0.008416
                     34,                  1e-05,                0.99795,                      1,                0.29994,              0.0083665,              0.0083665,              0.0083665
                     35,                  2e-05,                0.99795,                      1,                0.29995,               0.008317,               0.008317,               0.008317
                     36,                  1e-05,                0.99795,                      1,                0.29995,              0.0082675,              0.0082675,              0.0082675
                     37,                  1e-05,                0.99795,                      1,                0.29994,               0.008218,               0.008218,               0.008218
                     38,                  2e-05,                0.99795,                      1,                0.29996,              0.0081685,              0.0081685,              0.0081685
                     39,                  2e-05,                0.99795,                      1,                0.29994,               0.008119,               0.008119,               0.008119
                     40,                  1e-05,                0.99795,                      1,                0.29994,              0.0080695,              0.0080695,              0.0080695
                     41,                  1e-05,                0.99795,                      1,                0.29996,                0.00802,                0.00802,                0.00802
                     42,                  1e-05,                0.99795,                      1,                0.29995,              0.0079705,              0.0079705,              0.0079705
                     43,                  2e-05,                0.99795,                      1,                0.29996,               0.007921,               0.007921,               0.007921
                     44,                  2e-05,                0.99795,                      1,                0.29993,              0.0078715,              0.0078715,              0.0078715
                     45,                  2e-05,                0.99795,                      1,                0.29994,               0.007822,               0.007822,               0.007822
                     46,                  1e-05,                0.99795,                      1,                0.29994,              0.0077725,              0.0077725,              0.0077725
                     47,                  2e-05,                0.99795,                      1,                0.29994,               0.007723,               0.007723,               0.007723
                     48,                  3e-05,                0.99795,                      1,                0.29994,              0.0076735,              0.0076735,              0.0076735
                     49,                  2e-05,                0.99795,                      1,                0.29993,               0.007624,               0.007624,               0.007624
                     50,                  1e-05,                0.99795,                      1,                0.29993,              0.0075745,              0.0075745,              0.0075745
                     51,                  1e-05,                0.99795,                      1,                0.29993,               0.007525,               0.007525,               0.007525
                     52,                  1e-05,                0.99795,                      1,                0.29993,              0.0074755,              0.0074755,              0.0074755
                     53,                  1e-05,                0.99795,                      1,                0.29993,               0.007426,               0.007426,               0.007426
                     54,                  2e-05,                0.99795,                      1,                0.29993,              0.0073765,              0.0073765,              0.0073765
                     55,                  9e-05,                0.99795,                      1,                0.29997,               0.007327,               0.007327,               0.007327
                     56,                  5e-05,                0.99795,                      1,                0.29995,              0.0072775,              0.0072775,              0.0072775
                     57,                  1e-05,                0.99795,                      1,                0.29995,               0.007228,               0.007228,               0.007228
                     58,                  1e-05,                0.99795,                      1,                0.29995,              0.0071785,              0.0071785,              0.0071785
                     59,                  1e-05,                0.99795,                      1,                0.29995,               0.007129,               0.007129,               0.007129
                     60,                  1e-05,                0.99795,                      1,                0.29995,              0.0070795,              0.0070795,              0.0070795
                     61,                  1e-05,                0.99795,                      1,                0.29994,                0.00703,                0.00703,                0.00703
                     62,                  1e-05,                0.99795,                      1,                0.29995,              0.0069805,              0.0069805,              0.0069805
                     63,                  1e-05,                0.99795,                      1,                0.29994,               0.006931,               0.006931,               0.006931
                     64,                  2e-05,                0.99795,                      1,                0.29994,              0.0068815,              0.0068815,              0.0068815
                     65,                  1e-05,                0.99795,                      1,                0.29994,               0.006832,               0.006832,               0.006832
                     66,                  1e-05,                0.99795,                      1,                0.29994,              0.0067825,              0.0067825,              0.0067825
                     67,                  1e-05,                0.99795,                      1,                0.29994,               0.006733,               0.006733,               0.006733
                     68,                  4e-05,                0.99795,                      1,                0.29997,              0.0066835,              0.0066835,              0.0066835
                     69,                  4e-05,                0.99795,                      1,                0.30002,               0.006634,               0.006634,               0.006634
                     70,                  1e-05,                0.99795,                      1,                0.30002,              0.0065845,              0.0065845,              0.0065845
                     71,                  2e-05,                0.99795,                      1,                0.30008,               0.006535,               0.006535,               0.006535
                     72,                  1e-05,                0.99795,                      1,                0.30012,              0.0064855,              0.0064855,              0.0064855
                     73,                  1e-05,                0.99795,                      1,                0.30009,               0.006436,               0.006436,               0.006436
                     74,                  1e-05,                0.99795,                      1,                0.30011,              0.0063865,              0.0063865,              0.0063865
                     75,                  1e-05,                0.99795,                      1,                 0.3001,               0.006337,               0.006337,               0.006337
                     76,                  1e-05,                0.99795,                      1,                0.30008,              0.0062875,              0.0062875,              0.0062875
                     77,                  1e-05,                0.99795,                      1,                0.30011,               0.006238,               0.006238,               0.006238
                     78,                  1e-05,                0.99795,                      1,                0.30005,              0.0061885,              0.0061885,              0.0061885
                     79,                  1e-05,                0.99795,                      1,                0.30001,               0.006139,               0.006139,               0.006139
                     80,                  1e-05,                0.99795,                      1,                0.30002,              0.0060895,              0.0060895,              0.0060895
                     81,                  1e-05,                0.99795,                      1,                    0.3,                0.00604,                0.00604,                0.00604
                     82,                  1e-05,                0.99795,                      1,                0.29998,              0.0059905,              0.0059905,              0.0059905
                     83,                  1e-05,                0.99795,                      1,                0.29999,               0.005941,               0.005941,               0.005941
                     84,                  1e-05,                0.99795,                      1,                0.29998,              0.0058915,              0.0058915,              0.0058915
                     85,                  1e-05,                0.99795,                      1,                0.29998,               0.005842,               0.005842,               0.005842
                     86,                  1e-05,                0.99795,                      1,                0.29999,              0.0057925,              0.0057925,              0.0057925
                     87,                  1e-05,                0.99795,                      1,                0.29998,               0.005743,               0.005743,               0.005743
                     88,                  2e-05,                0.99795,                      1,                0.29998,              0.0056935,              0.0056935,              0.0056935
                     89,                  1e-05,                0.99795,                      1,                0.29997,               0.005644,               0.005644,               0.005644
                     90,                  1e-05,                0.99795,                      1,                0.29996,              0.0055945,              0.0055945,              0.0055945
                     91,                  1e-05,                0.99795,                      1,                0.29997,               0.005545,               0.005545,               0.005545
                     92,                  1e-05,                0.99795,                      1,                0.29997,              0.0054955,              0.0054955,              0.0054955
                     93,                  2e-05,                0.99795,                      1,                0.29997,               0.005446,               0.005446,               0.005446
                     94,                  1e-05,                0.99795,                      1,                0.29996,              0.0053965,              0.0053965,              0.0053965
                     95,                  1e-05,                0.99795,                      1,                0.29997,               0.005347,               0.005347,               0.005347
                     96,                  1e-05,                0.99795,                      1,                0.29997,              0.0052975,              0.0052975,              0.0052975
                     97,                  1e-05,                0.99795,                      1,                0.29996,               0.005248,               0.005248,               0.005248
                     98,                  1e-05,                0.99795,                      1,                0.29997,              0.0051985,              0.0051985,              0.0051985
                     99,                  1e-05,                0.99795,                      1,                0.29997,               0.005149,               0.005149,               0.005149
                    100,                  1e-05,                0.99795,                      1,                0.29997,              0.0050995,              0.0050995,              0.0050995
                    101,                  1e-05,                0.99795,                      1,                0.29996,                0.00505,                0.00505,                0.00505
                    102,                  1e-05,                0.99795,                      1,                0.29996,              0.0050005,              0.0050005,              0.0050005
                    103,                  2e-05,                0.99795,                      1,                0.29993,               0.004951,               0.004951,               0.004951
                    104,                  1e-05,                0.99795,                      1,                0.29993,              0.0049015,              0.0049015,              0.0049015
                    105,                  1e-05,                0.99795,                      1,                0.29993,               0.004852,               0.004852,               0.004852
                    106,                  1e-05,                0.99795,                      1,                0.29993,              0.0048025,              0.0048025,              0.0048025
                    107,                  1e-05,                0.99795,                      1,                0.29993,               0.004753,               0.004753,               0.004753
                    108,                  1e-05,                0.99795,                      1,                0.29993,              0.0047035,              0.0047035,              0.0047035
                    109,                  1e-05,                0.99795,                      1,                0.29993,               0.004654,               0.004654,               0.004654
                    110,                  1e-05,                0.99795,                      1,                0.29993,              0.0046045,              0.0046045,              0.0046045
                    111,                  1e-05,                0.99795,                      1,                0.29993,               0.004555,               0.004555,               0.004555
                    112,                  1e-05,                0.99795,                      1,                0.29994,              0.0045055,              0.0045055,              0.0045055
                    113,                  1e-05,                0.99795,                      1,                0.29994,               0.004456,               0.004456,               0.004456
                    114,                  1e-05,                0.99795,                      1,                0.29994,              0.0044065,              0.0044065,              0.0044065
                    115,                  1e-05,                0.99795,                      1,                0.29994,               0.004357,               0.004357,               0.004357
                    116,                  1e-05,                0.99795,                      1,                0.29994,              0.0043075,              0.0043075,              0.0043075
                    117,                  2e-05,                0.99795,                      1,                0.29994,               0.004258,               0.004258,               0.004258
                    118,                  4e-05,                0.99795,                      1,                0.29994,              0.0042085,              0.0042085,              0.0042085
                    119,                  1e-05,                0.99795,                      1,                0.29994,               0.004159,               0.004159,               0.004159
                    120,                  2e-05,                0.99795,                      1,                0.29994,              0.0041095,              0.0041095,              0.0041095
                    121,                  1e-05,                0.99795,                      1,                0.29994,                0.00406,                0.00406,                0.00406
